consultation_id,lead_id,consult_date,counselor_id,result
C00001,L00001,2024-06-20,CS06,진행
C00002,L00010,2024-06-11,CS06,진행
C00003,L00011,2024-06-14,CS07,보류
C00004,L00013,2024-06-14,CS06,보류
C00005,L00016,2024-06-07,CS05,진행
C00006,L00017,2024-06-07,CS06,보류
C00007,L00018,2024-06-27,CS02,진행
C00008,L00019,2024-06-25,CS01,진행
C00009,L00021,2024-06-24,CS03,진행
C00010,L00023,2024-06-19,CS07,보류
C00011,L00024,2024-06-15,CS06,진행
C00012,L00026,2024-06-16,CS07,거절
C00013,L00027,2024-06-05,CS05,거절
C00014,L00029,2024-06-12,CS03,진행
C00015,L00030,2024-06-14,CS01,진행
C00016,L00032,2024-06-12,CS02,진행
C00017,L00035,2024-06-23,CS05,진행
C00018,L00037,2024-06-18,CS06,진행
C00019,L00038,2024-06-24,CS03,진행
C00020,L00039,2024-06-20,CS07,진행
C00021,L00040,2024-06-12,CS04,진행
C00022,L00041,2024-06-15,CS08,진행
C00023,L00042,2024-06-21,CS05,진행
C00024,L00043,2024-06-24,CS06,거절
C00025,L00044,2024-06-15,CS02,거절
C00026,L00045,2024-06-21,CS05,진행
C00027,L00046,2024-06-10,CS02,거절
C00028,L00050,2024-06-20,CS07,진행
C00029,L00052,2024-06-11,CS04,진행
C00030,L00053,2024-06-10,CS05,진행
C00031,L00055,2024-06-08,CS02,보류
C00032,L00056,2024-06-30,CS03,보류
C00033,L00057,2024-06-21,CS04,진행
C00034,L00058,2024-06-18,CS07,진행
C00035,L00059,2024-06-29,CS05,진행
C00036,L00060,2024-06-11,CS08,진행
C00037,L00061,2024-06-04,CS04,진행
C00038,L00065,2024-06-19,CS04,진행
C00039,L00066,2024-06-29,CS04,진행
C00040,L00067,2024-06-11,CS01,진행
C00041,L00069,2024-06-22,CS07,진행
C00042,L00070,2024-06-19,CS04,진행
C00043,L00071,2024-06-12,CS05,진행
C00044,L00074,2024-06-29,CS06,진행
C00045,L00075,2024-06-16,CS01,진행
