contract_id,lead_id,contract_start_date,contract_end_date,monthly_rent,channel,property_type,status
K00001,L00019,2024-07-20,2025-07-20,450000,중개플랫폼,투룸,재계약
K00002,L00032,2024-06-21,2025-06-21,450000,중개사,투룸,만료_미갱신
K00003,L00035,2024-07-16,2025-07-16,650000,중개플랫폼,원룸,재계약
K00004,L00061,2024-06-22,2025-06-22,450000,중개플랫폼,투룸,재계약
K00005,L00065,2024-07-06,2025-07-06,450000,중개플랫폼,원룸,재계약
K00006,L00071,2024-06-22,2025-06-22,550000,직영,상가,재계약
K00007,L00088,2024-07-19,2025-07-19,650000,중개플랫폼,원룸,재계약
K00008,L00105,2024-07-16,2025-07-16,650000,중개플랫폼,상가,재계약
K00009,L00141,2024-07-11,2025-07-11,450000,중개사,원룸,만료_미갱신
K00010,L00164,2024-08-12,2025-08-12,650000,중개사,투룸,재계약
K00011,L00174,2024-09-07,2025-09-07,550000,중개플랫폼,투룸,만료_미갱신
K00012,L00178,2024-08-22,2025-08-22,800000,직영,투룸,재계약
K00013,L00184,2024-09-20,2025-09-20,550000,중개플랫폼,상가,재계약
K00014,L00186,2024-08-28,2025-08-28,450000,중개사,상가,재계약
K00015,L00188,2024-08-30,2025-08-30,550000,중개플랫폼,원룸,만료_미갱신
K00016,L00192,2024-09-09,2025-09-09,800000,중개플랫폼,투룸,재계약
K00017,L00201,2024-09-13,2025-09-13,550000,중개플랫폼,투룸,재계약
K00018,L00202,2024-09-08,2025-09-08,450000,중개플랫폼,투룸,재계약
K00019,L00209,2024-08-28,2025-08-28,1200000,중개플랫폼,원룸,재계약
K00020,L00212,2024-09-09,2025-09-09,450000,중개사,원룸,재계약
K00021,L00217,2024-10-11,2025-10-11,450000,중개플랫폼,원룸,재계약
K00022,L00219,2024-09-22,2025-09-22,650000,중개플랫폼,원룸,재계약
K00023,L00227,2024-10-20,2025-10-20,800000,중개플랫폼,투룸,만료_미갱신
K00024,L00228,2024-10-07,2025-10-07,450000,중개플랫폼,투룸,만료_미갱신
K00025,L00245,2024-09-21,2025-09-21,650000,중개사,투룸,만료_미갱신
K00026,L00251,2024-09-26,2025-09-26,450000,직영,투룸,재계약
K00027,L00254,2024-09-24,2025-09-24,650000,중개사,투룸,재계약
K00028,L00255,2024-09-26,2025-09-26,650000,중개사,투룸,재계약
K00029,L00262,2024-10-10,2025-10-10,1200000,중개플랫폼,투룸,재계약
K00030,L00266,2024-09-30,2025-09-30,1200000,직영,원룸,만료_미갱신
K00031,L00287,2024-10-02,2025-10-02,800000,중개플랫폼,원룸,만료_미갱신
K00032,L00288,2024-10-17,2025-10-17,550000,중개플랫폼,상가,재계약
K00033,L00296,2024-10-07,2025-10-07,800000,직영,원룸,중도해지
K00034,L00299,2024-10-14,2025-10-14,450000,중개플랫폼,원룸,만료_미갱신
K00035,L00330,2024-10-14,2025-10-14,650000,직영,원룸,재계약
K00036,L00339,2024-10-30,2025-10-30,450000,중개플랫폼,상가,만료_미갱신
K00037,L00341,2024-10-17,2025-10-17,800000,중개사,상가,만료_미갱신
K00038,L00344,2024-11-16,2025-11-16,800000,중개사,원룸,재계약
K00039,L00348,2024-11-03,2025-11-03,1200000,중개플랫폼,투룸,만료_미갱신
K00040,L00353,2024-11-04,2025-11-04,450000,중개플랫폼,원룸,만료_미갱신
K00041,L00363,2024-10-27,2025-10-27,650000,직영,상가,재계약
K00042,L00373,2024-12-06,2025-12-06,650000,중개플랫폼,상가,재계약
K00043,L00421,2024-12-16,2025-12-16,550000,중개플랫폼,투룸,재계약
K00044,L00423,2024-12-04,2025-12-04,550000,중개플랫폼,투룸,만료_미갱신
K00045,L00430,2024-11-25,2025-11-25,650000,중개플랫폼,원룸,재계약
K00046,L00431,2024-12-02,2025-12-02,550000,직영,투룸,재계약
K00047,L00437,2025-01-11,2026-01-11,550000,직영,원룸,계약중
K00048,L00438,2025-01-07,2026-01-07,800000,중개플랫폼,원룸,계약중
K00049,L00467,2025-01-08,2026-01-08,650000,중개사,투룸,계약중
K00050,L00473,2025-01-05,2026-01-05,550000,중개플랫폼,투룸,계약중
K00051,L00475,2024-12-31,2025-12-31,550000,직영,상가,재계약
K00052,L00485,2024-12-29,2025-12-29,550000,중개사,원룸,만료_미갱신
K00053,L00491,2024-12-28,2025-12-28,1200000,중개사,원룸,만료_미갱신
