lead_id,inquiry_date,channel,property_type
L00001,2024-06-19,직영,투룸
L00002,2024-06-13,중개플랫폼,상가
L00003,2024-06-21,중개사,원룸
L00004,2024-06-22,중개플랫폼,원룸
L00005,2024-06-06,중개사,투룸
L00006,2024-06-26,,원룸
L00007,2024-06-03,중개플랫폼,투룸
L00008,2024-06-16,중개사,투룸
L00009,2024-06-20,직영,상가
L00010,2024-06-10,중개사,원룸
L00011,2024-06-11,중개플랫폼,원룸
L00012,2024-06-14,중개사,투룸
L00013,2024-06-11,중개플랫폼,원룸
L00014,2024-06-28,중개플랫폼,원룸
L00015,2024-06-13,중개플랫폼,원룸
L00016,2024-06-04,중개사,원룸
L00017,2024-06-05,중개사,원룸
L00018,2024-06-24,중개사,투룸
L00019,2024-06-24,중개플랫폼,투룸
L00020,2024-06-11,중개플랫폼,원룸
L00021,2024-06-23,중개사,투룸
L00022,2024-06-01,,투룸
L00023,2024-06-16,중개사,원룸
L00024,2024-06-13,중개플랫폼,투룸
L00025,2024-06-19,중개사,투룸
L00026,2024-06-14,중개사,투룸
L00027,2024-06-03,중개플랫폼,원룸
L00028,2024-06-16,중개플랫폼,원룸
L00029,2024-06-08,직영,원룸
L00030,2024-06-12,중개플랫폼,원룸
L00031,2024-06-26,중개사,투룸
L00032,2024-06-09,중개사,투룸
L00033,2024-06-12,중개사,원룸
L00034,2024-06-12,중개플랫폼,원룸
L00035,2024-06-22,중개플랫폼,원룸
L00036,2024-06-21,중개플랫폼,원룸
L00037,2024-06-14,중개플랫폼,원룸
L00038,2024-06-20,중개플랫폼,투룸
L00039,2024-06-18,중개플랫폼,원룸
L00040,2024-06-11,직영,상가
L00041,2024-06-14,중개플랫폼,상가
L00042,2024-06-20,중개사,투룸
L00043,2024-06-23,중개플랫폼,원룸
L00044,2024-06-13,직영,원룸
L00045,2024-06-20,중개플랫폼,투룸
L00046,2024-06-06,중개플랫폼,상가
L00047,2024-06-01,중개사,원룸
L00048,2024-06-22,중개사,투룸
L00049,2024-06-03,중개플랫폼,원룸
L00050,2024-06-19,중개플랫폼,원룸
L00051,2024-06-06,중개플랫폼,원룸
L00052,2024-06-10,중개사,원룸
L00053,2024-06-09,중개사,원룸
L00054,2024-06-26,중개사,원룸
L00055,2024-06-05,중개플랫폼,투룸
L00056,2024-06-27,중개플랫폼,원룸
L00057,2024-06-19,직영,투룸
L00058,2024-06-14,중개플랫폼,원룸
L00059,2024-06-27,중개플랫폼,원룸
L00060,2024-06-10,중개플랫폼,투룸
L00061,2024-06-01,,투룸
L00062,2024-06-26,중개플랫폼,투룸
L00063,2024-06-04,중개사,투룸
L00064,2024-06-08,중개사,원룸
L00065,2024-06-18,중개플랫폼,원룸
L00066,2024-06-26,중개사,원룸
L00067,2024-06-09,중개사,원룸
L00068,2024-06-24,직영,원룸
L00069,2024-06-18,중개플랫폼,상가
L00070,2024-06-15,중개플랫폼,원룸
L00071,2024-06-09,직영,상가
L00072,2024-06-13,중개사,상가
L00073,2024-06-07,중개플랫폼,원룸
L00074,2024-06-26,중개사,투룸
L00075,2024-06-12,중개플랫폼,투룸
L00076,2024-06-11,중개플랫폼,상가
L00077,2024-06-27,중개플랫폼,투룸
L00078,2024-06-07,중개플랫폼,원룸
L00079,2024-07-21,중개플랫폼,원룸
L00080,2024-07-25,중개사,상가
L00081,2024-07-14,중개플랫폼,원룸
L00082,2024-07-15,중개플랫폼,원룸
L00083,2024-07-01,중개플랫폼,투룸
L00084,2024-07-19,중개사,투룸
L00085,2024-07-12,중개사,투룸
L00086,2024-07-06,중개사,원룸
L00087,2024-07-13,직영,원룸
L00088,2024-07-04,중개플랫폼,원룸
L00089,2024-07-15,직영,원룸
L00090,2024-07-19,직영,원룸
L00091,2024-07-17,중개사,원룸
L00092,2024-07-16,중개플랫폼,원룸
L00093,2024-07-01,중개사,상가
L00094,2024-07-28,중개사,원룸
L00095,2024-07-18,중개플랫폼,원룸
L00096,2024-07-22,중개사,투룸
L00097,2024-07-13,중개플랫폼,투룸
L00098,2024-07-07,직영,투룸
L00099,2024-07-09,중개플랫폼,원룸
L00100,2024-07-12,중개사,상가
L00101,2024-07-08,중개플랫폼,원룸
L00102,2024-07-13,중개사,투룸
L00103,2024-07-27,중개플랫폼,투룸
L00104,2024-07-03,중개플랫폼,투룸
L00105,2024-07-09,중개플랫폼,상가
L00106,2024-07-09,중개플랫폼,원룸
L00107,2024-07-17,중개플랫폼,원룸
L00108,2024-07-05,중개플랫폼,원룸
L00109,2024-07-24,중개사,투룸
L00110,2024-07-02,중개플랫폼,원룸
L00111,2024-07-28,직영,상가
L00112,2024-07-15,중개플랫폼,원룸
L00113,2024-07-25,중개플랫폼,투룸
L00114,2024-07-07,중개플랫폼,원룸
L00115,2024-07-01,중개플랫폼,원룸
L00116,2024-07-11,중개사,원룸
L00117,2024-07-12,중개플랫폼,투룸
L00118,2024-07-26,직영,상가
L00119,2024-07-09,중개사,투룸
L00120,2024-07-23,중개사,원룸
L00121,2024-07-24,중개플랫폼,상가
