payment_id,contract_id,payment_month,paid,amount
P000001,K00001,2024-07,True,450000.0
P000002,K00001,2024-08,True,450000.0
P000003,K00001,2024-09,True,450000.0
P000004,K00001,2024-10,True,450000.0
P000005,K00001,2024-11,True,450000.0
P000006,K00001,2024-12,True,450000.0
P000007,K00001,2025-01,True,450000.0
P000008,K00001,2025-02,True,450000.0
P000009,K00001,2025-03,True,450000.0
P000010,K00001,2025-04,True,450000.0
P000011,K00001,2025-05,True,450000.0
P000012,K00001,2025-06,True,450000.0
P000013,K00002,2024-06,True,450000.0
P000014,K00002,2024-07,True,450000.0
P000015,K00002,2024-08,True,450000.0
P000016,K00002,2024-09,True,450000.0
P000017,K00002,2024-10,True,450000.0
P000018,K00002,2024-11,True,450000.0
P000019,K00002,2024-12,True,450000.0
P000020,K00002,2025-01,True,450000.0
P000021,K00002,2025-02,True,450000.0
P000022,K00002,2025-03,True,450000.0
P000023,K00002,2025-04,True,450000.0
P000024,K00002,2025-05,True,450000.0
P000025,K00003,2024-07,True,650000.0
P000026,K00003,2024-08,True,650000.0
P000027,K00003,2024-09,True,650000.0
P000028,K00003,2024-10,True,650000.0
P000029,K00003,2024-11,True,650000.0
P000030,K00003,2024-12,False,
P000031,K00003,2025-01,True,650000.0
P000032,K00003,2025-02,True,650000.0
P000033,K00003,2025-03,True,650000.0
P000034,K00003,2025-04,True,650000.0
P000035,K00003,2025-05,True,650000.0
P000036,K00003,2025-06,True,650000.0
P000037,K00004,2024-06,True,450000.0
P000038,K00004,2024-07,True,450000.0
P000039,K00004,2024-08,True,450000.0
P000040,K00004,2024-09,True,450000.0
P000041,K00004,2024-10,True,450000.0
P000042,K00004,2024-11,True,450000.0
P000043,K00004,2024-12,True,450000.0
P000044,K00004,2025-01,True,450000.0
P000045,K00004,2025-02,True,450000.0
P000046,K00004,2025-03,True,450000.0
P000047,K00004,2025-04,True,450000.0
P000048,K00004,2025-05,True,450000.0
P000049,K00005,2024-07,True,450000.0
P000050,K00005,2024-08,True,450000.0
P000051,K00005,2024-09,True,450000.0
P000052,K00005,2024-10,True,450000.0
P000053,K00005,2024-11,True,450000.0
P000054,K00005,2024-12,True,450000.0
P000055,K00005,2025-01,True,450000.0
P000056,K00005,2025-02,True,450000.0
P000057,K00005,2025-03,True,450000.0
P000058,K00005,2025-04,True,450000.0
P000059,K00005,2025-05,True,450000.0
P000060,K00005,2025-06,True,450000.0
P000061,K00006,2024-06,False,
P000062,K00006,2024-07,True,550000.0
P000063,K00006,2024-08,True,550000.0
P000064,K00006,2024-09,True,550000.0
P000065,K00006,2024-10,True,550000.0
P000066,K00006,2024-11,True,550000.0
P000067,K00006,2024-12,True,550000.0
P000068,K00006,2025-01,True,550000.0
P000069,K00006,2025-02,True,550000.0
P000070,K00006,2025-03,True,550000.0
P000071,K00006,2025-04,True,550000.0
P000072,K00006,2025-05,True,550000.0
P000073,K00007,2024-07,True,650000.0
P000074,K00007,2024-08,True,650000.0
P000075,K00007,2024-09,True,650000.0
P000076,K00007,2024-10,True,650000.0
P000077,K00007,2024-11,True,650000.0
P000078,K00007,2024-12,True,650000.0
P000079,K00007,2025-01,True,650000.0
P000080,K00007,2025-02,True,650000.0
P000081,K00007,2025-03,True,650000.0
P000082,K00007,2025-04,True,650000.0
P000083,K00007,2025-05,True,650000.0
P000084,K00007,2025-06,True,650000.0
P000085,K00008,2024-07,True,650000.0
P000086,K00008,2024-08,True,650000.0
P000087,K00008,2024-09,True,650000.0
P000088,K00008,2024-10,True,650000.0
P000089,K00008,2024-11,True,650000.0
P000090,K00008,2024-12,False,
P000091,K00008,2025-01,True,650000.0
P000092,K00008,2025-02,True,650000.0
P000093,K00008,2025-03,True,650000.0
P000094,K00008,2025-04,True,650000.0
P000095,K00008,2025-05,True,650000.0
P000096,K00008,2025-06,True,650000.0
P000097,K00009,2024-07,True,450000.0
P000098,K00009,2024-08,True,450000.0
P000099,K00009,2024-09,True,450000.0
P000100,K00009,2024-10,True,450000.0
P000101,K00009,2024-11,True,450000.0
P000102,K00009,2024-12,True,450000.0
P000103,K00009,2025-01,True,450000.0
P000104,K00009,2025-02,True,450000.0
P000105,K00009,2025-03,True,450000.0
P000106,K00009,2025-04,True,450000.0
P000107,K00009,2025-05,True,450000.0
P000108,K00009,2025-06,True,450000.0
P000109,K00010,2024-08,True,650000.0
P000110,K00010,2024-09,True,650000.0
P000111,K00010,2024-10,True,650000.0
P000112,K00010,2024-11,True,650000.0
P000113,K00010,2024-12,False,
P000114,K00010,2025-01,True,650000.0
P000115,K00010,2025-02,True,650000.0
P000116,K00010,2025-03,True,650000.0
P000117,K00010,2025-04,True,650000.0
P000118,K00010,2025-05,True,650000.0
P000119,K00010,2025-06,True,650000.0
P000120,K00010,2025-07,True,650000.0
P000121,K00011,2024-09,True,550000.0
P000122,K00011,2024-10,True,550000.0
P000123,K00011,2024-11,True,550000.0
P000124,K00011,2024-12,True,550000.0
P000125,K00011,2025-01,True,550000.0
P000126,K00011,2025-02,True,550000.0
P000127,K00011,2025-03,True,550000.0
P000128,K00011,2025-04,False,
P000129,K00011,2025-05,True,550000.0
P000130,K00011,2025-06,True,550000.0
P000131,K00011,2025-07,True,550000.0
P000132,K00011,2025-08,True,550000.0
P000133,K00012,2024-08,True,800000.0
P000134,K00012,2024-09,True,800000.0
P000135,K00012,2024-10,True,800000.0
P000136,K00012,2024-11,True,800000.0
P000137,K00012,2024-12,True,800000.0
P000138,K00012,2025-01,True,800000.0
P000139,K00012,2025-02,True,800000.0
P000140,K00012,2025-03,True,800000.0
P000141,K00012,2025-04,True,800000.0
P000142,K00012,2025-05,True,800000.0
P000143,K00012,2025-06,True,800000.0
P000144,K00012,2025-07,False,
P000145,K00013,2024-09,True,550000.0
P000146,K00013,2024-10,True,550000.0
P000147,K00013,2024-11,True,550000.0
P000148,K00013,2024-12,False,
P000149,K00013,2025-01,True,550000.0
P000150,K00013,2025-02,True,550000.0
P000151,K00013,2025-03,True,550000.0
P000152,K00013,2025-04,True,550000.0
P000153,K00013,2025-05,True,550000.0
P000154,K00013,2025-06,True,550000.0
P000155,K00013,2025-07,True,550000.0
P000156,K00013,2025-08,True,550000.0
P000157,K00014,2024-08,True,450000.0
P000158,K00014,2024-09,True,450000.0
P000159,K00014,2024-10,True,450000.0
P000160,K00014,2024-11,True,450000.0
P000161,K00014,2024-12,True,450000.0
P000162,K00014,2025-01,True,450000.0
P000163,K00014,2025-02,True,450000.0
P000164,K00014,2025-03,True,450000.0
P000165,K00014,2025-04,True,450000.0
P000166,K00014,2025-05,True,450000.0
P000167,K00014,2025-06,True,450000.0
P000168,K00014,2025-07,True,450000.0
P000169,K00015,2024-08,True,550000.0
P000170,K00015,2024-09,True,550000.0
P000171,K00015,2024-10,True,550000.0
P000172,K00015,2024-11,True,550000.0
P000173,K00015,2024-12,False,
P000174,K00015,2025-01,True,550000.0
P000175,K00015,2025-02,True,550000.0
P000176,K00015,2025-03,True,550000.0
P000177,K00015,2025-04,True,550000.0
P000178,K00015,2025-05,True,550000.0
P000179,K00015,2025-06,False,
P000180,K00015,2025-07,True,550000.0
P000181,K00016,2024-09,True,800000.0
P000182,K00016,2024-10,True,800000.0
P000183,K00016,2024-11,True,800000.0
P000184,K00016,2024-12,True,800000.0
P000185,K00016,2025-01,True,800000.0
P000186,K00016,2025-02,True,800000.0
P000187,K00016,2025-03,True,800000.0
P000188,K00016,2025-04,True,800000.0
P000189,K00016,2025-05,True,800000.0
P000190,K00016,2025-06,True,800000.0
P000191,K00016,2025-07,True,800000.0
P000192,K00016,2025-08,True,800000.0
P000193,K00017,2024-09,True,550000.0
P000194,K00017,2024-10,True,550000.0
P000195,K00017,2024-11,True,550000.0
P000196,K00017,2024-12,True,550000.0
P000197,K00017,2025-01,True,550000.0
P000198,K00017,2025-02,True,550000.0
P000199,K00017,2025-03,True,550000.0
P000200,K00017,2025-04,True,550000.0
P000201,K00017,2025-05,True,550000.0
P000202,K00017,2025-06,True,550000.0
P000203,K00017,2025-07,True,550000.0
P000204,K00017,2025-08,True,550000.0
P000205,K00018,2024-09,False,
P000206,K00018,2024-10,True,450000.0
P000207,K00018,2024-11,True,450000.0
P000208,K00018,2024-12,True,450000.0
P000209,K00018,2025-01,True,450000.0
P000210,K00018,2025-02,True,450000.0
P000211,K00018,2025-03,True,450000.0
P000212,K00018,2025-04,True,450000.0
P000213,K00018,2025-05,True,450000.0
P000214,K00018,2025-06,True,450000.0
P000215,K00018,2025-07,True,450000.0
P000216,K00018,2025-08,True,450000.0
P000217,K00019,2024-08,True,1200000.0
P000218,K00019,2024-09,True,1200000.0
P000219,K00019,2024-10,True,1200000.0
P000220,K00019,2024-11,True,1200000.0
P000221,K00019,2024-12,True,1200000.0
P000222,K00019,2025-01,True,1200000.0
P000223,K00019,2025-02,True,1200000.0
P000224,K00019,2025-03,True,1200000.0
P000225,K00019,2025-04,True,1200000.0
