visit_id,lead_id,scheduled_date,visit_date
V00001,L00019,2024-07-03,2024-07-03
V00002,L00029,2024-06-19,
V00003,L00032,2024-06-14,2024-06-14
V00004,L00035,2024-06-30,2024-06-30
V00005,L00037,2024-06-25,2024-06-25
V00006,L00042,2024-06-29,
V00007,L00050,2024-06-27,2024-06-27
V00008,L00052,2024-06-16,2024-06-16
V00009,L00057,2024-06-27,2024-06-27
V00010,L00061,2024-06-08,2024-06-08
V00011,L00065,2024-06-22,2024-06-22
V00012,L00066,2024-07-01,
V00013,L00069,2024-06-26,
V00014,L00070,2024-06-26,2024-06-26
V00015,L00071,2024-06-15,2024-06-15
V00016,L00074,2024-07-08,2024-07-08
V00017,L00075,2024-06-24,2024-06-24
V00018,L00078,2024-06-11,2024-06-11
V00019,L00087,2024-07-26,
V00020,L00088,2024-07-11,2024-07-11
V00021,L00089,2024-07-26,2024-07-26
V00022,L00102,2024-07-18,2024-07-18
V00023,L00105,2024-07-12,2024-07-12
V00024,L00107,2024-07-21,2024-07-21
V00025,L00111,2024-08-09,2024-08-09
V00026,L00113,2024-07-30,
V00027,L00120,2024-08-03,2024-08-03
V00028,L00123,2024-07-27,2024-07-27
V00029,L00130,2024-07-17,
V00030,L00141,2024-07-08,2024-07-08
V00031,L00142,2024-07-29,
V00032,L00150,2024-07-17,2024-07-17
V00033,L00154,2024-07-31,2024-07-31
V00034,L00157,2024-07-23,
V00035,L00161,2024-07-31,2024-07-31
V00036,L00164,2024-08-02,2024-08-02
V00037,L00165,2024-07-24,2024-07-24
V00038,L00172,2024-08-10,2024-08-10
V00039,L00173,2024-08-31,2024-08-31
V00040,L00174,2024-08-31,2024-08-31
V00041,L00175,2024-08-22,
V00042,L00178,2024-08-17,2024-08-17
V00043,L00184,2024-09-03,2024-09-03
V00044,L00186,2024-08-20,2024-08-20
V00045,L00188,2024-08-11,2024-08-11
V00046,L00192,2024-08-23,2024-08-23
V00047,L00194,2024-08-18,2024-08-18
V00048,L00201,2024-09-02,2024-09-02
V00049,L00202,2024-08-20,2024-08-20
V00050,L00206,2024-08-18,
V00051,L00208,2024-08-08,
V00052,L00209,2024-08-12,2024-08-12
V00053,L00212,2024-08-29,2024-08-29
V00054,L00214,2024-08-28,2024-08-28
V00055,L00215,2024-08-31,2024-08-31
V00056,L00216,2024-08-16,2024-08-16
V00057,L00217,2024-09-28,2024-09-28
V00058,L00218,2024-09-13,2024-09-13
V00059,L00219,2024-09-07,2024-09-07
V00060,L00220,2024-09-18,2024-09-18
V00061,L00221,2024-10-03,2024-10-03
V00062,L00227,2024-10-01,2024-10-01
V00063,L00228,2024-09-22,2024-09-22
V00064,L00229,2024-09-27,2024-09-27
V00065,L00230,2024-10-01,2024-10-01
V00066,L00235,2024-09-15,2024-09-15
V00067,L00241,2024-09-21,2024-09-21
V00068,L00245,2024-09-10,2024-09-10
V00069,L00251,2024-09-20,2024-09-20
V00070,L00253,2024-10-01,2024-10-01
V00071,L00254,2024-09-07,2024-09-07
V00072,L00255,2024-09-11,2024-09-11
V00073,L00257,2024-09-11,2024-09-11
V00074,L00259,2024-09-23,2024-09-23
V00075,L00261,2024-09-22,2024-09-22
V00076,L00262,2024-09-30,2024-09-30
V00077,L00264,2024-09-18,2024-09-18
V00078,L00266,2024-09-15,2024-09-15
V00079,L00271,2024-09-07,2024-09-07
V00080,L00274,2024-09-22,2024-09-22
V00081,L00280,2024-09-17,2024-09-17
V00082,L00283,2024-09-30,2024-09-30
V00083,L00285,2024-09-17,2024-09-17
V00084,L00287,2024-09-17,2024-09-17
V00085,L00288,2024-10-02,2024-10-02
V00086,L00289,2024-09-24,2024-09-24
V00087,L00293,2024-10-05,2024-10-05
V00088,L00294,2024-09-12,
V00089,L00296,2024-09-23,2024-09-23
V00090,L00299,2024-09-25,2024-09-25
V00091,L00304,2024-09-19,2024-09-19
V00092,L00311,2024-10-15,2024-10-15
V00093,L00325,2024-10-30,2024-10-30
V00094,L00326,2024-11-03,2024-11-03
V00095,L00327,2024-11-02,2024-11-02
V00096,L00330,2024-10-06,2024-10-06
V00097,L00332,2024-10-27,
V00098,L00339,2024-10-19,2024-10-19
V00099,L00340,2024-10-18,2024-10-18
V00100,L00341,2024-10-13,2024-10-13
V00101,L00344,2024-11-02,2024-11-02
V00102,L00345,2024-10-31,
V00103,L00348,2024-10-29,2024-10-29
V00104,L00351,2024-10-17,2024-10-17
V00105,L00353,2024-10-17,2024-10-17
V00106,L00355,2024-10-13,2024-10-13
V00107,L00360,2024-10-22,
V00108,L00363,2024-10-17,2024-10-17
V00109,L00365,2024-10-22,
V00110,L00371,2024-11-29,2024-11-29
V00111,L00373,2024-11-25,2024-11-25
V00112,L00375,2024-11-17,
V00113,L00387,2024-12-07,
V00114,L00403,2024-11-26,
V00115,L00408,2024-11-28,2024-11-28
V00116,L00415,2024-11-17,2024-11-17
V00117,L00421,2024-12-06,2024-12-06
V00118,L00423,2024-11-21,2024-11-21
V00119,L00427,2024-12-07,
V00120,L00429,2024-11-28,2024-11-28
V00121,L00430,2024-11-21,2024-11-21
V00122,L00431,2024-11-20,2024-11-20
V00123,L00437,2024-12-30,2024-12-30
V00124,L00438,2024-12-30,2024-12-30
V00125,L00439,2024-12-24,2024-12-24
V00126,L00440,2024-12-31,2024-12-31
V00127,L00445,2024-12-27,
V00128,L00450,2024-12-31,2024-12-31
V00129,L00456,2025-01-06,2025-01-06
V00130,L00459,2025-01-06,2025-01-06
V00131,L00460,2024-12-09,2024-12-09
V00132,L00462,2024-12-10,2024-12-10
V00133,L00464,2025-01-01,2025-01-01
V00134,L00467,2024-12-22,2024-12-22
V00135,L00473,2024-12-30,2024-12-30
V00136,L00475,2024-12-12,2024-12-12
V00137,L00476,2024-12-30,2024-12-30
V00138,L00481,2024-12-18,2024-12-18
V00139,L00482,2024-12-27,2024-12-27
V00140,L00483,2024-12-20,2024-12-20
V00141,L00485,2024-12-19,2024-12-19
V00142,L00487,2024-12-24,2024-12-24
V00143,L00488,2025-01-02,2025-01-02
V00144,L00489,2024-12-30,2024-12-30
V00145,L00491,2024-12-17,2024-12-17
V00146,L00492,2024-12-14,2024-12-14
V00147,L00499,2024-12-15,2024-12-15
V00148,L00504,2024-12-15,2024-12-15
V00149,L00505,2025-01-03,2025-01-03
V00150,L00520,2025-01-17,2025-01-17
V00151,L00524,2025-01-11,2025-01-11
V00152,L00528,2025-01-28,2025-01-28
V00153,L00529,2025-01-06,2025-01-06
V00154,L00531,2025-01-13,2025-01-13
V00155,L00532,2025-02-03,
V00156,L00534,2025-02-05,2025-02-05
V00157,L00538,2025-01-23,2025-01-23
V00158,L00539,2025-01-25,2025-01-25
V00159,L00543,2025-01-13,2025-01-13
V00160,L00552,2025-02-03,2025-02-03
V00161,L00558,2025-01-25,2025-01-25
V00162,L00561,2025-01-24,2025-01-24
V00163,L00567,2025-02-03,2025-02-03
V00164,L00570,2025-01-29,2025-01-29
V00165,L00573,2025-01-25,2025-01-25
V00166,L00574,2025-02-04,2025-02-04
V00167,L00575,2025-02-07,
V00168,L00582,2025-02-01,
V00169,L00588,2025-01-25,2025-01-25
V00170,L00595,2025-03-03,2025-03-03
V00171,L00598,2025-02-27,2025-02-27
V00172,L00602,2025-02-28,2025-02-28
V00173,L00606,2025-02-18,2025-02-18
V00174,L00607,2025-02-15,
V00175,L00609,2025-02-19,2025-02-19
V00176,L00613,2025-02-16,2025-02-16
V00177,L00614,2025-02-23,2025-02-23
V00178,L00619,2025-03-10,2025-03-10
V00179,L00622,2025-03-03,
V00180,L00623,2025-02-19,2025-02-19
V00181,L00634,2025-02-12,2025-02-12
V00182,L00635,2025-02-09,2025-02-09
V00183,L00636,2025-03-03,2025-03-03
V00184,L00641,2025-03-06,2025-03-06
